v4_0,financial-and-calendar-years,Time,uk-only,Geography,quintile,Quintile,averages-and-percentiles,AveragesAndPercentiles,income-type,Income,value-deflation,Deflation
18732,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
17971,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
2537,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
3669,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
18649,1978,1978,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
24064,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
17942,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
2275,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
3251,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
2631,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
3942,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
5200,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
2544,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
11993,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
425,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
4534,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
2270,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
11834,1978,1978,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
10347,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
11566,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
23987,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
20670,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
876,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
1439,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
1995,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
4100,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
3841,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
7177,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
3133,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
3995,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
9232,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
7967,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
12731,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
9295,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
14789,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
16436,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
4104,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
2617,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
3605,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
3303,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
3756,1978,1978,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
2898,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
14280,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
1809,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
3342,1978,1978,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
2596,1978,1978,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
18708,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
17120,1978,1978,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
15226,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
1392,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
4089,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
3340,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
2025,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
5262,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
5568,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
7326,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
3564,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
16726,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
13210,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
18169,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
5002,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
5658,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
2538,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
15235,1978,1978,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
3130,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
4939,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
3986,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
15182,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
2816,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
11932,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
11597,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
23707,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
3244,1978,1978,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
14821,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
11571,1978,1978,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
6558,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
15231,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
12824,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
25792,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
37076,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
23482,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
21232,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
3341,1978,1978,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
3244,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
9220,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
7905,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
6174,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
5151,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
17510,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
22515,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
2813,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
14269,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
15057,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
22800,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
18638,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
25381,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
33395,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
32719,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
36036,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
6346,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
9093,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
8247,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
10372,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
1936,1978,1978,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
18690,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
28146,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
16247,1978,1978,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
2039,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
4109,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
2023,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
3936,1978,1978,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
5279,1978,1978,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
8133,1978,1978,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
4658,1978,1978,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
1748,1978,1978,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
14789,1978,1978,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
2793,1978,1978,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
3330,1978,1978,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
4091,1978,1978,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
27774,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,final,Final,deflated-value,Deflated value
45122,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,undeflated-value,Undeflated value
32439,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,undeflated-value,Undeflated value
6974,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,deflated-value,Deflated value
9597,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
25375,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
23258,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
20896,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,original,Original,undeflated-value,Undeflated value
23609,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,final,Final,undeflated-value,Undeflated value
35058,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,disposable,Disposable,deflated-value,Deflated value
19752,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,undeflated-value,Undeflated value
33192,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,deflated-value,Deflated value
40954,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,deflated-value,Deflated value
23146,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,deflated-value,Deflated value
23506,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,gross,Gross,undeflated-value,Undeflated value
19810,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,deflated-value,Deflated value
44674,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,deflated-value,Deflated value
28314,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
13091,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,deflated-value,Deflated value
4634,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,original,Original,deflated-value,Deflated value
35022,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
41386,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,deflated-value,Deflated value
5048,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,original,Original,undeflated-value,Undeflated value
32134,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,disposable,Disposable,deflated-value,Deflated value
26424,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,deflated-value,Deflated value
10333,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,undeflated-value,Undeflated value
38998,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,undeflated-value,Undeflated value
36790,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,final,Final,undeflated-value,Undeflated value
17225,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,deflated-value,Deflated value
66846,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,deflated-value,Deflated value
20879,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
33203,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
29642,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,original,Original,undeflated-value,Undeflated value
20493,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
11238,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
19174,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
23572,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
14276,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,gross,Gross,deflated-value,Deflated value
17047,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,deflated-value,Deflated value
26119,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
15108,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
15137,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
22359,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,deflated-value,Deflated value
17372,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
27290,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,original,Original,deflated-value,Deflated value
6330,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
16172,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,undeflated-value,Undeflated value
50701,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,original,Original,undeflated-value,Undeflated value
31119,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,original,Original,undeflated-value,Undeflated value
51662,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,undeflated-value,Undeflated value
50830,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,final,Final,deflated-value,Deflated value
36208,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
32477,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,gross,Gross,deflated-value,Deflated value
92266,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,deflated-value,Deflated value
10956,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
29955,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,gross,Gross,undeflated-value,Undeflated value
14185,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
27493,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,deflated-value,Deflated value
21238,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
33907,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,deflated-value,Deflated value
14300,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
3354,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,original,Original,undeflated-value,Undeflated value
16996,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,undeflated-value,Undeflated value
6946,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
44819,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,gross,Gross,deflated-value,Deflated value
53881,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,disposable,Disposable,deflated-value,Deflated value
10267,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,undeflated-value,Undeflated value
18905,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
19873,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
23483,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,gross,Gross,deflated-value,Deflated value
12554,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,deflated-value,Deflated value
22344,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,final,Final,deflated-value,Deflated value
15543,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,deflated-value,Deflated value
19757,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
15526,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
20103,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,final,Final,undeflated-value,Undeflated value
15372,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
27457,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,deflated-value,Deflated value
71377,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,gross,Gross,deflated-value,Deflated value
70049,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,original,Original,deflated-value,Deflated value
19273,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
48382,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
66781,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
26492,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,disposable,Disposable,deflated-value,Deflated value
8746,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
24632,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,final,Final,undeflated-value,Undeflated value
26207,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,original,Original,undeflated-value,Undeflated value
20646,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,undeflated-value,Undeflated value
26628,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,disposable,Disposable,deflated-value,Deflated value
16183,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,final,Final,undeflated-value,Undeflated value
22027,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,undeflated-value,Undeflated value
32334,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,gross,Gross,undeflated-value,Undeflated value
32568,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,gross,Gross,deflated-value,Deflated value
42995,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,original,Original,deflated-value,Deflated value
90280,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,deflated-value,Deflated value
57519,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
28870,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,original,Original,deflated-value,Deflated value
20873,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,post-tax,Post-tax,deflated-value,Deflated value
25349,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
9086,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
41631,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
19125,2003-04,2003-04,K02000001,United Kingdom,all,All,median,Median,disposable,Disposable,undeflated-value,Undeflated value
28525,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
34032,2003-04,2003-04,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
62342,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,final,Final,deflated-value,Deflated value
45875,2003-04,2003-04,K02000001,United Kingdom,5th,5th,median,Median,post-tax,Post-tax,deflated-value,Deflated value
32619,2003-04,2003-04,K02000001,United Kingdom,all,All,mean,Mean,final,Final,deflated-value,Deflated value
12338,2003-04,2003-04,K02000001,United Kingdom,1st,1st,mean,Mean,final,Final,undeflated-value,Undeflated value
12573,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,final,Final,undeflated-value,Undeflated value
11250,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,original,Original,undeflated-value,Undeflated value
16753,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,mean,Mean,gross,Gross,undeflated-value,Undeflated value
14338,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,disposable,Disposable,undeflated-value,Undeflated value
24541,2003-04,2003-04,K02000001,United Kingdom,4th,4th,mean,Mean,final,Final,undeflated-value,Undeflated value
19899,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,final,Final,undeflated-value,Undeflated value
12467,2003-04,2003-04,K02000001,United Kingdom,2nd,2nd,median,Median,original,Original,undeflated-value,Undeflated value
65343,2003-04,2003-04,K02000001,United Kingdom,5th,5th,mean,Mean,original,Original,undeflated-value,Undeflated value
30433,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,original,Original,deflated-value,Deflated value
9475,2003-04,2003-04,K02000001,United Kingdom,1st,1st,median,Median,disposable,Disposable,undeflated-value,Undeflated value
15112,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
24024,2003-04,2003-04,K02000001,United Kingdom,3rd,3rd,median,Median,gross,Gross,undeflated-value,Undeflated value
15425,1992,1992,K02000001,United Kingdom,3rd,3rd,median,Median,post-tax,Post-tax,deflated-value,Deflated value
11336,1992,1992,K02000001,United Kingdom,3rd,3rd,mean,Mean,final,Final,undeflated-value,Undeflated value
8860,1992,1992,K02000001,United Kingdom,3rd,3rd,mean,Mean,post-tax,Post-tax,undeflated-value,Undeflated value
11877,1992,1992,K02000001,United Kingdom,1st,1st,median,Median,final,Final,deflated-value,Deflated value
6000,1992,1992,K02000001,United Kingdom,1st,1st,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
6558,1992,1992,K02000001,United Kingdom,1st,1st,median,Median,post-tax,Post-tax,deflated-value,Deflated value
10058,1992,1992,K02000001,United Kingdom,1st,1st,median,Median,gross,Gross,deflated-value,Deflated value
24907,1992,1992,K02000001,United Kingdom,all,All,mean,Mean,original,Original,deflated-value,Deflated value
25571,1992,1992,K02000001,United Kingdom,4th,4th,median,Median,final,Final,deflated-value,Deflated value
40103,1992,1992,K02000001,United Kingdom,5th,5th,mean,Mean,post-tax,Post-tax,deflated-value,Deflated value
27706,1992,1992,K02000001,United Kingdom,5th,5th,mean,Mean,disposable,Disposable,undeflated-value,Undeflated value
